user_id,video_id,watch_time,hour_of_day
user_002232,video_0017814,24.1,18
user_010826,video_0006858,20.9,20
user_005037,video_0007673,24.4,2
user_018394,video_0009705,31.4,18
user_999999999,video_0017814,12.0,9
user_012831,video_0014304,24.8,3
user_012509,video_0026305,51.0,8
user_019540,video_0003203,16.5,15
user_013636,video_0027311,5.7,10
user_002304,video_0011216,3.8,13
user_021458,video_0020491,18.9,19
user_000001,video_999999999,33.0,18
user_004131,video_0019771,10.6,18
user_001699,video_0020452,13.4,23
user_016948,video_0016330,8.8,18
user_009098,video_0034265,1.8,11
user_013665,video_0034330,20.5,3
user_023064,video_0017842,58.1,17
user_010272,video_0001838,5.6,7
user_001909,video_0013578,4.7,11
